AMER_UI_Ascension_Force_TheFalcon_Title	<font color='ebc808' size='30'>The Falcon</font>
AMER_UI_Ascension_Inertia_TheAuroch_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Presence</font> grants +2% to elemental resistances per Leadership. <font color='a8a8a8' size='21' face='Averia Serif'>If you already have this effect:</font> <font color="ebc808" size="20" face="Averia Serif">Presence</font> grants +1% physical resistance per Leadership.</p>
AMER_UI_Ascension_Inertia_TheAuroch_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Maximum Vitality.</p>
AMER_UI_Ascension_Inertia_TheCrab_Title	<font color='ebc808' size='30'>The Crab</font>
AMER_UI_Ascension_Inertia_TheCrab_Desc_A	"The righteous rebuke conquers where a fool’s wrath cannot."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Inertia_TheCrab_Rewards	Requires: 1 <font color='73b3f2' size='20' face='Averia Serif'>Inertia</font>.<br>Completion grants: 3 <font color='73b3f2' size='20' face='Averia Serif'>Inertia</font>, 2 <font color='c1a757' size='20' face='Averia Serif'>Life</font>.
AMER_UI_Ascension_Inertia_TheCrab_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+5% Air Resistance.<br><font color='ebc808' size='21'>2) </font>+5% Earth Resistance.<br><font color='ebc808' size='21'>3) </font>+1% Physical Resistance.<br><font color='ebc808' size='21'>4) </font>+5% Piercing Resistance.<br><font color='ebc808' size='21'>5) </font>+5% Water Resistance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Air Resistance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Earth Resistance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1% Physical Resistance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Piercing Resistance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_0.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Water Resistance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Aerotheurge.<br><font color='ebc808' size='21'>2) </font>+1 Geomancer.<br><font color='ebc808' size='21'>3) </font>+1 Hydrosophist.<br><font color='ebc808' size='21'>4) </font>+1 Warfare.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Aerotheurge.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Geomancer.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Hydrosophist.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Warfare.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +2 Initiative.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Leadership.<br><font color='ebc808' size='21'>2) </font>+1 Perseverance.<br><font color='ebc808' size='21'>3) </font>+1 Retribution.<br><font color='ebc808' size='21'>4) </font>+1 Single-Handed.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Leadership.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Perseverance.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Retribution.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_2.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Single-Handed.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>Learn the Mercy skill, which activates <font color="ebc808" size="20" face="Averia Serif">Benevolence</font> on allies around you.<br><font color='ebc808' size='21'>2) </font>After you have suffered total damage exceeding 70% of your maximum Vitality (-1% per Constitution over 10, minimum of 20%), activate <font color="ebc808" size="20" face="Averia Serif">Ward</font> for 1 turn.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_3.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> Learn the Mercy skill, which activates <font color="ebc808" size="20" face="Averia Serif">Benevolence</font> on allies around you.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_3.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> After you have suffered total damage exceeding 70% of your maximum Vitality (-1% per Constitution over 10, minimum of 20%), activate <font color="ebc808" size="20" face="Averia Serif">Ward</font> for 1 turn.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>When you remove 4 or more stacks of Battered and or Harried via <font color="ebc808" size="20" face="Averia Serif">Benevolence</font>, extend your Source Generation by 1 turn.<br><font color='ebc808' size='21'>2) </font><font color="ebc808" size="20" face="Averia Serif">Ward</font> grants: +3% Increased Battered and Harried Threshold.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_4.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> When you remove 4 or more stacks of Battered and or Harried via <font color="ebc808" size="20" face="Averia Serif">Benevolence</font>, extend your Source Generation by 1 turn.</p>
AMER_UI_Ascension_Inertia_TheCrab_Node_4.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Ward</font> grants: +3% Increased Battered and Harried Threshold.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Title	<font color='ebc808' size='30'>The Guardsman</font>
AMER_UI_Ascension_Inertia_TheGuardsman_Desc_A	"Yet the watchers guard."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Inertia_TheGuardsman_Rewards	Requires: 1 <font color='73b3f2' size='20' face='Averia Serif'>Inertia</font>.<br>Completion grants: 2 <font color='4ae88c' size='20' face='Averia Serif'>Form</font>, 3 <font color='73b3f2' size='20' face='Averia Serif'>Inertia</font>.
AMER_UI_Ascension_Inertia_TheGuardsman_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+5% Air Resistance.<br><font color='ebc808' size='21'>2) </font>+5% Earth Resistance.<br><font color='ebc808' size='21'>3) </font>+1% Physical Resistance.<br><font color='ebc808' size='21'>4) </font>+5% Piercing Resistance.<br><font color='ebc808' size='21'>5) </font>+5% Water Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Air Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Earth Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1% Physical Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Piercing Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_0.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Water Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Aerotheurge.<br><font color='ebc808' size='21'>2) </font>+1 Geomancer.<br><font color='ebc808' size='21'>3) </font>+1 Hydrosophist.<br><font color='ebc808' size='21'>4) </font>+1 Warfare.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Aerotheurge.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Geomancer.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Hydrosophist.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Warfare.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Leadership.<br><font color='ebc808' size='21'>2) </font>+1 Perseverance.<br><font color='ebc808' size='21'>3) </font>+1 Retribution.<br><font color='ebc808' size='21'>4) </font>+1 Single-Handed.<br><font color='ebc808' size='21'>5) </font>+Physical Armor: Small (scales with level).</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Leadership.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Perseverance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Retribution.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_2.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Single-Handed.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_2.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +Physical Armor: Small (scales with level).</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font><font color="ebc808" size="20" face="Averia Serif">Celestial</font> reactions can be performed on allies you can see when a friendly effect removes Battered or Harried from them.<br><font color='ebc808' size='21'>2) </font><font color="ebc808" size="20" face="Averia Serif">Centurion</font> reactions can be performed when an enemy you can see within weapon range (up to 5m away) hits a non-self ally with a basic attack or spell.<br><font color='cb9780'>  »</font> +1 Strength.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_3.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Celestial</font> reactions can be performed on allies you can see when a friendly effect removes Battered or Harried from them.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_3.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Centurion</font> reactions can be performed when an enemy you can see within weapon range (up to 5m away) hits a non-self ally with a basic attack or spell.<br><font color='cb9780'>»</font> +1 Strength.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font><font color="ebc808" size="20" face="Averia Serif">Celestial</font> reactions cleanse Acid, Bleeding, Brittle, Poisoned (if not undead), Suffocating from allies.<br><font color='cb9780'>  »</font> +1% Increased Battered and Harried Threshold.<br><font color='ebc808' size='21'>2) </font><font color="ebc808" size="20" face="Averia Serif">Centurion</font> reactions apply Taunted for 1 turn.<br><font color='ebc808' size='21'>3) </font>+1 free Centurion reaction per round.<br><font color='cb9780'>  »</font> +1% Physical Resistance.<br><font color='cb9780'>  »</font> +3% Piercing Resistance.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_4.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Celestial</font> reactions cleanse Acid, Bleeding, Brittle, Poisoned (if not undead), Suffocating from allies.<br><font color='cb9780'>»</font> +1% Increased Battered and Harried Threshold.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_4.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Centurion</font> reactions apply Taunted for 1 turn.</p>
AMER_UI_Ascension_Inertia_TheGuardsman_Node_4.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 free Centurion reaction per round.<br><font color='cb9780'>»</font> +1% Physical Resistance.<br><font color='cb9780'>»</font> +3% Piercing Resistance.</p>
AMER_UI_Ascension_Entropy_TheCrow_Title	<font color='ebc808' size='30'>The Crow</font>
AMER_UI_Ascension_Entropy_TheCrow_Desc_A	"The first to arrive at the universal feast finds every dish full."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Entropy_TheCrow_Rewards	Requires: 1 <font color='beb3ff' size='20' face='Averia Serif'>Entropy</font>.<br>Completion grants: 3 <font color='beb3ff' size='20' face='Averia Serif'>Entropy</font>, 1 <font color='4ae88c' size='20' face='Averia Serif'>Form</font>.
AMER_UI_Ascension_Entropy_TheCrow_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +3% Air Resistance.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Constitution.<br><font color='ebc808' size='21'>2) </font>+1 Memory.<br><font color='ebc808' size='21'>3) </font>+1 Power.<br><font color='ebc808' size='21'>4) </font>+1 Wits.<br><font color='ebc808' size='21'>5) </font>+5% summon Damage.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Constitution.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Memory.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Power.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Wits.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_0.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% summon Damage.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+4% Critical Chance.<br><font color='ebc808' size='21'>2) </font>+10% Damage.<br><font color='ebc808' size='21'>3) </font>+4% Lifesteal.<br><font color='ebc808' size='21'>4) </font>+9% summon Accuracy.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +4% Critical Chance.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +10% Damage.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +4% Lifesteal.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +9% summon Accuracy.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>When you perform Staff of Magus, gain the Savage Sortilege talent until your next turn.<br><font color='ebc808' size='21'>2) </font>+12% invested Power.<br><font color='ebc808' size='21'>3) </font>+7% summon Lifesteal.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> When you perform Staff of Magus, gain the Savage Sortilege talent until your next turn.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +12% invested Power.</p>
AMER_UI_Ascension_Entropy_TheCrow_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +7% summon Lifesteal.</p>
AMER_UI_Ascension_Entropy_TheFly_Title	<font color='ebc808' size='30'>The Fly</font>
AMER_UI_Ascension_Entropy_TheFly_Desc_A	"Extinction’s herald reduces all flesh to its most basic function."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Entropy_TheFly_Rewards	Requires: 1 <font color='beb3ff' size='20' face='Averia Serif'>Entropy</font>.<br>Completion grants: 3 <font color='beb3ff' size='20' face='Averia Serif'>Entropy</font>, 2 <font color='4ae88c' size='20' face='Averia Serif'>Form</font>.
AMER_UI_Ascension_Entropy_TheFly_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+5% Earth Resistance.<br><font color='ebc808' size='21'>2) </font>+5% Piercing Resistance.<br><font color='ebc808' size='21'>3) </font>+5% Poison Resistance.<br><font color='ebc808' size='21'>4) </font>+5% Water Resistance.<br><font color='ebc808' size='21'>5) </font>+10% summon Vitality restored from <font color="ebc808" size="20" face="Averia Serif">Voracity</font>.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Earth Resistance.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Piercing Resistance.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Poison Resistance.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Water Resistance.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_0.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +10% summon Vitality restored from <font color="ebc808" size="20" face="Averia Serif">Voracity</font>.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Geomancer.<br><font color='ebc808' size='21'>2) </font>+1 Hydrosophist.<br><font color='ebc808' size='21'>3) </font>+1 Necromancer.<br><font color='ebc808' size='21'>4) </font>+1 Summoning.<br><font color='ebc808' size='21'>5) </font>+10% summon Damage.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Geomancer.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Hydrosophist.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Necromancer.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Summoning.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_1.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +10% summon Damage.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +4% Magic Armor restored from <font color="ebc808" size="20" face="Averia Serif">Voracity</font>.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Dual Wielding.<br><font color='ebc808' size='21'>2) </font>+1 Perseverance.<br><font color='ebc808' size='21'>3) </font>+1 Retribution.<br><font color='ebc808' size='21'>4) </font>+1 Two-Handed.<br><font color='ebc808' size='21'>5) </font>+6% summon Accuracy.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Dual Wielding.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Perseverance.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Retribution.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_2.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Two-Handed.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_2.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +6% summon Accuracy.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>For each Source Point you spend in combat, activate <font color="ebc808" size="20" face="Averia Serif">Vitality Void</font>.<br><font color='ebc808' size='21'>2) </font>Apply <font color="ebc808" size="20" face="Averia Serif">Withered</font> for 2 turns when you apply tier II or III of Slowed or Weakened to an enemy.<br><font color='cb9780'>  »</font> +1 Power.<br><font color='ebc808' size='21'>3) </font>+15% summon Vitality restored from <font color="ebc808" size="20" face="Averia Serif">Voracity</font>.<br><font color='cb9780'>  »</font> +8% summon Lifesteal.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_3.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> For each Source Point you spend in combat, activate <font color="ebc808" size="20" face="Averia Serif">Vitality Void</font>.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_3.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> Apply <font color="ebc808" size="20" face="Averia Serif">Withered</font> for 2 turns when you apply tier II or III of Slowed or Weakened to an enemy.<br><font color='cb9780'>»</font> +1 Power.</p>
AMER_UI_Ascension_Entropy_TheFly_Node_3.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +15% summon Vitality restored from <font color="ebc808" size="20" face="Averia Serif">Voracity</font>.<br><font color='cb9780'>»</font> +8% summon Lifesteal.</p>
